cod_ibge;municipio;populacao_2000;populacao_2010;populacao_2020;populacao_2030;populacao_2040;populacao_2050;tx_crescimentopop_2000/2010;tx_crescimentopop_2010/2020;tx_crescimentopop_2020/2030;tx_crescimentopop_2030/2040;tx_crescimentopop_2040/2050
3536901;Pedranópolis;2.737;2.559;2.422;2.323;2.181;2.007;-0,67;-0,55;-0,42;-0,63;-0,83
3537008;Pedregulho;14.982;15.694;16.279;16.648;16.842;16.762;0,47;0,37;0,22;0,12;-0,05
3537107;Pedreira;35.141;41.501;46.548;49.717;50.880;50.119;1,68;1,15;0,66;0,23;-0,15
3537156;Pedrinhas Paulista;2.858;2.939;3.010;3.041;2.961;2.796;0,28;0,24;0,1;-0,27;-0,57
3537206;Pedro de Toledo;9.173;10.195;10.977;11.717;12.140;12.326;1,06;0,74;0,65;0,36;0,15
3537305;Penápolis;54.570;58.477;60.774;61.559;60.638;58.414;0,69;0,39;0,13;-0,15;-0,37
3537404;Pereira Barreto;25.033;24.963;25.391;25.443;25.032;24.004;-0,03;0,17;0,02;-0,16;-0,42
3537503;Pereiras;6.207;7.443;8.428;9.091;9.319;9.289;1,83;1,25;0,76;0,25;-0,03
3537602;Peruíbe;51.237;59.698;66.201;71.318;75.114;78.185;1,54;1,04;0,75;0,52;0,4
3537701;Piacatu;4.624;5.281;5.891;6.284;6.423;6.352;1,34;1,1;0,65;0,22;-0,11
3537800;Piedade;50.065;52.126;53.536;54.513;54.353;52.928;0,4;0,27;0,18;-0,03;-0,27
3537909;Pilar do Sul;23.902;26.385;28.221;29.413;29.955;29.922;0,99;0,67;0,41;0,18;-0,01
3538006;Pindamonhangaba;125.775;146.807;163.611;173.238;176.509;175.061;1,56;1,09;0,57;0,19;-0,08
3538105;Pindorama;13.101;15.022;16.255;16.764;16.606;16.055;1,38;0,79;0,31;-0,09;-0,34
3538204;Pinhalzinho;10.959;13.086;14.755;15.802;16.033;15.797;1,79;1,21;0,69;0,15;-0,15
3538303;Piquerobi;3.476;3.537;3.535;3.494;3.403;3.238;0,17;-0,01;-0,12;-0,26;-0,5
3538501;Piquete;15.196;14.116;13.647;13.384;13.009;12.386;-0,73;-0,34;-0,19;-0,28;-0,49
3538600;Piracaia;23.303;25.101;26.287;27.011;26.969;26.258;0,75;0,46;0,27;-0,02;-0,27
3538709;Piracicaba;328.642;364.261;389.873;402.403;400.714;387.715;1,03;0,68;0,32;-0,04;-0,33
3538808;Piraju;27.879;28.470;28.574;28.270;27.585;26.427;0,21;0,04;-0,11;-0,24;-0,43
3538907;Pirajuí;20.083;22.681;23.259;23.345;22.997;22.337;1,22;0,25;0,04;-0,15;-0,29
3539004;Pirangi;10.036;10.618;10.823;10.764;10.415;9.815;0,57;0,19;-0,05;-0,33;-0,59
3539103;Pirapora do Bom Jesus;12.344;15.702;18.851;21.686;23.627;24.790;2,44;1,84;1,41;0,86;0,48
3539202;Pirapozinho;22.093;24.671;27.213;29.083;29.785;29.469;1,11;0,99;0,67;0,24;-0,11
3539301;Pirassununga;64.782;70.036;73.706;75.257;74.279;71.094;0,78;0,51;0,21;-0,13;-0,44
3539400;Piratininga;10.575;12.059;13.213;13.990;14.147;13.874;1,32;0,92;0,57;0,11;-0,19
3539509;Pitangueiras;31.112;35.270;38.584;41.039;42.425;42.601;1,26;0,9;0,62;0,33;0,04
